training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0754,0.06181250140070915,0.6894630192502533,0.7234231041814316,0.7060349299671451,0.9782996896653355,0.743847874720358,13.1461,272.02,4.26,1.0,662
0.0451,0.058737095445394516,0.7171398527865405,0.7250177179305457,0.7210572687224669,0.9793572547229238,0.7455257270693513,13.8122,258.902,4.054,2.0,1324
0.0337,0.06553806364536285,0.708102667337695,0.7478738483345145,0.7274450667815597,0.9797617878050613,0.7611856823266219,7.3369,487.398,7.633,3.0,1986
0.0255,0.06815827637910843,0.6927643189475373,0.7650602409638554,0.7271196430074933,0.9793572547229238,0.7760067114093959,14.147,252.774,3.958,4.0,2648
