training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.078,0.06968745589256287,0.7329799569322512,0.6658140234727655,0.6977844358590238,0.9753619816765817,0.6452001203731568,12.3215,269.692,4.22,1.0,667
0.0479,0.06847123801708221,0.7314354571471607,0.7306650616912429,0.7310500564546482,0.9771400401032493,0.7092988263617214,11.7189,283.558,4.437,2.0,1334
0.0357,0.0696549192070961,0.7179230439136032,0.7551910923863978,0.7360856493363643,0.9776330220346306,0.7228408065001505,12.459,266.715,4.174,3.0,2001
0.027,0.07569620013237,0.7440403422982885,0.7326211254890159,0.7382865807429871,0.9781813951942571,0.7092988263617214,12.558,264.612,4.141,4.0,2668
