training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.1,0.07412546128034592,0.7322786110540374,0.7446719598829921,0.7384232880969648,0.9744542085416971,0.7501665556295802,5.8165,516.12,8.08,1.0,532
0.0581,0.0726814940571785,0.7591501893142617,0.7540743836188885,0.7566037735849056,0.976582350180447,0.7641572285143238,11.0317,272.124,4.26,2.0,1064
0.0428,0.07272731512784958,0.7436,0.7768491433347263,0.7598610259554465,0.9765580748005372,0.7898067954696869,11.0667,271.265,4.247,3.0,1596
0.0328,0.07931993901729584,0.7458161055325851,0.7914751358127873,0.7679675620881906,0.9769464808790924,0.7961359093937375,11.4956,261.143,4.089,4.0,2128
