training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0863,0.06857031583786011,0.6984112490869248,0.6924678616693826,0.6954268569869988,0.97681387252599,0.6295857988165681,19.599,258.687,4.082,1.0,481
0.0519,0.0704360380768776,0.6647484380138112,0.7320296940068803,0.6967686342093925,0.9766151084769855,0.6652859960552269,20.2623,250.218,3.948,2.0,962
0.0389,0.07564688473939896,0.694693668290182,0.7360130363932645,0.7147566926018726,0.9770999722934962,0.6741617357001972,19.2957,262.752,4.146,3.0,1443
