training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0995,0.07448345422744751,0.7269633989332352,0.742114156965828,0.7344606522345072,0.9731030500776954,0.734104988588197,12.0832,507.646,7.945,1.0,471
0.0579,0.07227787375450134,0.7191828254847645,0.7799474277131055,0.7483336335795353,0.9744864546479681,0.7799152266058037,16.8127,364.844,5.71,2.0,942
0.0425,0.07555671036243439,0.7427258805513017,0.7740330454374765,0.758056360042293,0.9755714778403388,0.7766547114444082,22.2487,275.701,4.315,3.0,1413
0.0321,0.08005043119192123,0.7433699437449772,0.7815433721366879,0.7619788568028923,0.9753660984503544,0.7851320508640365,23.8746,256.925,4.021,4.0,1884
