training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0771,0.06668902188539505,0.6953273566965499,0.7516886930983847,0.7224103866779565,0.9767880573105763,0.7425402693424874,13.3077,284.572,4.509,1.0,746
0.0471,0.06470123678445816,0.7145209991765029,0.7644640234948605,0.7386492622020432,0.9780211094307409,0.7443886981779773,14.072,269.117,4.264,2.0,1492
0.0348,0.07154156267642975,0.7127184071515644,0.7726872246696035,0.7414922849291904,0.9779631454421862,0.7604964351729602,13.1038,288.999,4.579,3.0,2238
0.0264,0.07509449869394302,0.7348305202957177,0.7735682819383259,0.753701981543744,0.9786745216653581,0.7575917612886189,12.0251,314.924,4.99,4.0,2984
