training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0975,0.07221008837223053,0.7346755347833902,0.7823506891271057,0.7577639751552795,0.9744877398555442,0.7821265492498369,10.2714,298.498,4.673,1.0,530
0.0575,0.06893820315599442,0.7714231426942808,0.7771822358346095,0.7742919805473444,0.9761151926594128,0.776255707762557,11.9919,255.672,4.003,2.0,1060
0.0424,0.0714699849486351,0.7712971481140755,0.8024502297090352,0.7865653438408857,0.9771536625437862,0.7984344422700587,5.978,512.884,8.029,3.0,1590
0.0322,0.0787477120757103,0.7674546454095657,0.8016845329249617,0.7841962363074618,0.9768979199603212,0.8036529680365296,10.7417,285.429,4.469,4.0,2120
