training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0709,0.057400912046432495,0.6930591259640103,0.7784408084696823,0.7332728921124205,0.9799440695483008,0.7757965507161648,6.7915,503.721,7.951,1.0,692
0.0408,0.05200187861919403,0.7376320177876599,0.7663137632338787,0.7516993957703928,0.9822603197762781,0.7643963753288512,11.006,310.829,4.906,2.0,1384
0.0294,0.056717582046985626,0.7475149105367793,0.7961501443695861,0.7710663683818045,0.9822542403793544,0.7936275942706811,6.7432,507.322,8.008,3.0,2076
0.0216,0.06565147638320923,0.7510509961615792,0.7909528392685274,0.7704856553534597,0.9823575901270594,0.7950891552177726,12.3391,277.25,4.376,4.0,2768
