training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0832,0.060296908020973206,0.7129927903052615,0.7230864965774736,0.71800417085039,0.9785605534898655,0.7180362299816224,13.2179,288.171,4.539,1.0,681
0.05,0.05749377980828285,0.7252463987869598,0.7440883634100809,0.7345465714505107,0.9799898499238744,0.7406143344709898,7.6632,497.05,7.83,2.0,1362
0.0374,0.063936248421669,0.7063207682384979,0.7666459240821406,0.7352480417754568,0.9791509150604344,0.7624048306642164,14.9086,255.49,4.025,3.0,2043
0.0282,0.06711222231388092,0.7121623552951265,0.7752022401991289,0.7423463687150839,0.9796118113742996,0.7660803360462064,13.5628,280.843,4.424,4.0,2724
