training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0761,0.06215842068195343,0.7084757962929639,0.7431106077765195,0.7253800092123445,0.9788971797452198,0.7670323325635104,13.484,256.897,4.079,1.0,665
0.0452,0.058339979499578476,0.7431906614785992,0.7570781426953568,0.7500701262272089,0.9810510296752657,0.776270207852194,12.7715,271.228,4.306,2.0,1330
0.0332,0.06275421380996704,0.7331615752668385,0.7519818799546999,0.7424524785687663,0.9802839891018875,0.7788683602771362,12.526,276.545,4.391,3.0,1995
0.0249,0.06849485635757446,0.7399702823179792,0.7519818799546999,0.7459277288897209,0.9809467121572862,0.7814665127020786,12.1805,284.388,4.515,4.0,2660
