training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0806,0.0701952576637268,0.6912647411905939,0.7349650874690292,0.7124454148471615,0.9752974977965592,0.7344123109578138,26.9086,280.133,4.385,1.0,628
0.0484,0.06792113184928894,0.726759944326423,0.7448757414220287,0.7357063403781979,0.9775422115356451,0.7447598832581587,26.885,280.379,4.389,2.0,1256
0.0355,0.0731232687830925,0.703334479202475,0.7680756813574593,0.7342807924203274,0.9767061022662822,0.7691695409923056,28.6394,263.204,4.12,3.0,1884
0.0265,0.07817252725362778,0.7349397590361446,0.751107440498536,0.7429356503657496,0.9781493227248641,0.7529848766250995,29.6114,254.565,3.985,4.0,2512
