training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0799,0.062024783343076706,0.6926428691134573,0.7262344052011949,0.7090410018871163,0.9784771936706451,0.7252781211372065,12.3531,261.958,4.129,1.0,670
0.0488,0.061324600130319595,0.7035332785538209,0.7522403795466526,0.7270720108695652,0.9790713638802199,0.7518541409147095,6.569,492.617,7.764,2.0,1340
0.0363,0.06498068571090698,0.7257240204429302,0.7485503426462836,0.7369604705475306,0.9797578323747772,0.7478368355995055,13.3916,241.644,3.808,3.0,2010
0.0274,0.07232143729925156,0.7026588845654993,0.7615533298190125,0.7309216628720803,0.9786271783837417,0.7626699629171817,12.6391,256.03,4.035,4.0,2680
