training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0769,0.05874830111861229,0.6937746256895193,0.7340336835084209,0.7133365742991411,0.9797626757585651,0.7344420600858369,14.6183,255.023,4.036,1.0,657
0.0457,0.05770093947649002,0.7020892830302119,0.7788894447223612,0.738498023715415,0.9810097787864028,0.7668991416309013,7.5177,495.898,7.848,2.0,1314
0.0341,0.06033932417631149,0.7029747596153846,0.7802234450558613,0.7395874496166917,0.9812131689797841,0.7714592274678111,15.4289,241.625,3.824,3.0,1971
0.0254,0.06684748828411102,0.7133262097389711,0.7792229448057362,0.7448198916161938,0.9811382357506436,0.773068669527897,12.8144,290.922,4.604,4.0,2628
