training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0764,0.06879604607820511,0.7252610254012779,0.7367421244261516,0.7309564944243757,0.9764467519311131,0.7251381215469613,7.2324,500.528,7.881,1.0,751
0.0472,0.06759795546531677,0.7085631349782293,0.7728352065854045,0.7393049140607254,0.9762222708278172,0.7588397790055249,7.2006,502.733,7.916,2.0,1502
0.0347,0.07309557497501373,0.721244131455399,0.7782175083109071,0.7486484428538795,0.9772180459783347,0.768232044198895,14.8459,243.839,3.839,3.0,2253
0.0261,0.07939240336418152,0.7461669505962522,0.7627038151021054,0.7543447627994363,0.9786742951868949,0.761049723756906,13.4833,268.48,4.227,4.0,3004
