training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0802,0.06615036725997925,0.6903170766387032,0.7561127550225821,0.721718448045191,0.9767113851805688,0.7584254516042059,13.94,266.068,4.161,1.0,711
0.0482,0.062346864491701126,0.7366823493701624,0.7559570160411151,0.74619523443505,0.9788379746558642,0.7573469937988676,13.7861,269.04,4.207,2.0,1422
0.0353,0.06471291184425354,0.7373737373737373,0.7617193583553964,0.7493488585874061,0.9791003815834072,0.7584254516042059,14.14,262.305,4.102,3.0,2133
0.0265,0.07167720794677734,0.7366218236173393,0.7674817006696776,0.7517351841964762,0.9797017307923596,0.7646265839849016,14.0637,263.729,4.124,4.0,2844
