training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0752,0.06599080562591553,0.7002994011976048,0.7451417648932781,0.72202500385862,0.9770477853911953,0.7473309608540926,7.2809,501.726,7.966,1.0,660
0.0451,0.061726976186037064,0.747560390337546,0.7443453329085696,0.7459493973980366,0.9791918581217252,0.7456884752258418,13.494,270.713,4.298,2.0,1320
0.0333,0.06706937402486801,0.7460489618841029,0.7669640012742912,0.7563619227144203,0.9802163106274352,0.7640295647413086,14.6312,249.671,3.964,3.0,1980
0.0251,0.07039248943328857,0.7487877365868919,0.7625039821599235,0.7555836161313235,0.9799643960768507,0.7664932931836846,14.5114,251.733,3.997,4.0,2640
