training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0746,0.06417004764080048,0.7138304652644997,0.7277452891487979,0.7207207207207207,0.9781370095030846,0.7310879443998931,11.4409,326.984,5.157,1.0,712
0.0442,0.0651785135269165,0.6802160318362707,0.7774528914879792,0.7255912674348091,0.9773812650411907,0.7786688051323175,15.2402,245.469,3.871,2.0,1424
0.0324,0.06622541695833206,0.7270602897647609,0.7581221572449642,0.7422664015904573,0.9800612099415236,0.7620956963378775,13.6967,273.132,4.308,3.0,2136
