,file_combination,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
0,combined_except_BC5CDR.CONLL,0.6950850582105516,0.006874026393440552,0.7245042234729488,0.01213925993743171,0.7094028277055664,0.005740959471585804
1,combined_except_BIORED.CONLL,0.7170301643412724,0.009970916383107173,0.752367176507601,0.010227477175504875,0.7342655886680038,0.009802911538239319
2,combined_except_CHIA.CONLL,0.7206424150256827,0.02058851471045456,0.7614988076211586,0.008800153182832443,0.7403555221698618,0.012385087361100961
3,combined_except_CLEAF.CONLL,0.7216924161785888,0.023019201014542637,0.7662224265891877,0.010624426891555737,0.7429129597628386,0.00784160103904519
4,combined_except_DISEASE_AE_CORPUS.CONLL,0.7284143218192234,0.009159032392036867,0.7613086387605842,0.011971802222899376,0.7444279871041478,0.007738239713331036
5,combined_except_MACCROBAT.CONLL,0.7376017650164839,0.011035072606640628,0.7569834624674201,0.00894054138099206,0.747050905304549,0.0038634866232150266
6,combined_except_NCBI.CONLL,0.7086264553209591,0.014516539954799955,0.744707331594259,0.008719506047621364,0.7260570342812876,0.0055697473621905275
7,combined_except_RENET2.CONLL,0.7495066549094402,0.008233252452837443,0.7888104126512998,0.0063434720359255075,0.768652170264353,0.007206890569161311
8,NER_COMPLETE.CONLL,0.7243766800665016,0.013545909702064806,0.7505053016699614,0.008236419685008226,0.7370586051246513,0.004214747458979783
