training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0796,0.06864991784095764,0.6788783993236579,0.7405471872118045,0.70837315298096,0.9758631355525454,0.7397003745318352,14.1918,263.392,4.157,1.0,710
0.0481,0.06511440128087997,0.7232456140350877,0.7603750384260682,0.7413457215645136,0.9785989312797978,0.7568218298555377,15.3314,243.813,3.848,2.0,1420
0.0353,0.06665882468223572,0.709177764910249,0.7529972333230864,0.7304308930967646,0.977809656878953,0.7565543071161048,14.1007,265.093,4.184,3.0,2130
0.0267,0.07416854053735733,0.7296219728292971,0.7594528127881955,0.7442385901491189,0.9792602152372623,0.7592295345104334,7.5245,496.777,7.841,4.0,2840
