training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0769,0.06384950131177902,0.71527537235885,0.7456219534211952,0.7301334747635463,0.9778841064769066,0.7455698026221006,26.3937,262.98,4.13,1.0,594
0.0459,0.05947073549032211,0.7284219703574543,0.7541975085755551,0.7410856838744012,0.9796738142803386,0.7581040195937185,25.1101,276.423,4.341,2.0,1188
0.034,0.062496624886989594,0.754842180774749,0.7598844556779202,0.7573549257759784,0.9806589184046208,0.7644431638092494,25.7592,269.458,4.232,3.0,1782
0.0256,0.07001228630542755,0.7436465066855574,0.7580790756454233,0.7507934379330382,0.9799522132719836,0.767324592998127,25.7659,269.387,4.23,4.0,2376
