training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0791,0.07055274397134781,0.6955882352941176,0.7409921671018277,0.7175726927939319,0.9757918298163865,0.7187894073139974,11.6821,271.526,4.28,1.0,671
0.048,0.06857755035161972,0.6962005108556832,0.7590948651000871,0.7262886168706804,0.9765773108201484,0.7405422446406053,6.4396,492.574,7.764,2.0,1342
0.0356,0.070966437458992,0.7373358348968105,0.7524804177545692,0.744831150930393,0.9786502719654152,0.7336065573770492,11.5407,274.854,4.333,3.0,2013
0.027,0.07753872126340866,0.718943320514964,0.7484769364664926,0.7334129285348797,0.9782250491663861,0.7377049180327869,6.4569,491.254,7.744,4.0,2684
