training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.1003,0.07114395499229431,0.7238725841088046,0.7862001943634597,0.7537501164632443,0.9744844734138096,0.7695058517555267,10.8836,282.627,4.502,1.0,530
0.0584,0.06727658957242966,0.7499538319482918,0.789310009718173,0.7691287878787879,0.9761081174357406,0.7766579973992198,10.3273,297.852,4.745,2.0,1060
0.043,0.07055729627609253,0.7634730538922155,0.793002915451895,0.7779578606158833,0.9775827313300547,0.7831599479843954,13.0111,236.413,3.766,3.0,1590
0.0326,0.07297339290380478,0.7617288511267085,0.8015549076773567,0.7811345771379866,0.9780455090947596,0.7906371911573472,6.1307,501.737,7.993,4.0,2120
