training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0745,0.06041601672768593,0.723305208030259,0.7416467780429594,0.7323611724849021,0.9791257583686073,0.7471502590673575,14.7239,262.158,4.143,1.0,708
0.044,0.059507742524147034,0.7216250174507888,0.7710322195704057,0.7455109252181438,0.9799702610704979,0.7658031088082902,15.4096,250.493,3.959,2.0,1416
0.032,0.0638217031955719,0.7545521835677276,0.7602923627684964,0.757411397577829,0.9809028407412972,0.7525906735751295,7.7417,498.6,7.879,3.0,2124
0.024,0.06851648539304733,0.7470332850940665,0.7699880668257757,0.7583370060232113,0.9809235647339817,0.7663212435233161,15.1082,255.491,4.038,4.0,2832
