training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0712,0.059122148901224136,0.6886702634084417,0.6898744237800032,0.6892718176764868,0.9791760373674715,0.7049308635533524,11.7829,325.301,5.092,1.0,679
0.0404,0.061738383024930954,0.6850697536360938,0.7337466221586393,0.7085731828996852,0.9798680275807528,0.7424993477693712,13.6457,280.894,4.397,2.0,1358
0.0292,0.0664067417383194,0.7046153846153846,0.7280241615005564,0.7161285278711595,0.9800953957936881,0.7391077484998696,14.659,261.477,4.093,3.0,2037
