training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0787,0.06549622863531113,0.7013318220459054,0.7380348889220217,0.7192154013803123,0.9774321921193562,0.7354497354497355,21.0439,368.231,5.797,1.0,659
0.0485,0.06587859988212585,0.7044904172144192,0.7590577009094975,0.7307568091290774,0.977358307898478,0.7559685120660731,29.9351,258.86,4.075,2.0,1318
0.0354,0.06741025298833847,0.7441334037576398,0.7352020277322201,0.7396407544905689,0.9793124181541174,0.7368692734546393,29.0309,266.923,4.202,3.0,1977
