training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0808,0.065618135035038,0.7074291145255821,0.7380598248223434,0.7224199288256228,0.9775079441160285,0.743350311262026,13.8859,254.503,4.033,1.0,717
0.0482,0.06385095417499542,0.7303775654081153,0.7704511650966782,0.7498793630368346,0.9785789943962176,0.7688172043010753,13.6203,259.466,4.112,2.0,1434
0.0355,0.06882679462432861,0.7312984342875217,0.7641712113700215,0.7473735251333441,0.9788689472345008,0.7676853423882286,14.9147,236.948,3.755,3.0,2151
0.0266,0.07452831417322159,0.7415481832543444,0.7757395471822839,0.7582586220822228,0.9792535785505908,0.7739105829088851,7.0429,501.779,7.951,4.0,2868
