training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0737,0.054774221032857895,0.7217461892306305,0.7316448751942946,0.7266618234653106,0.9813786659775136,0.7553011026293469,26.4278,267.672,4.2,1.0,612
0.0414,0.0571601577103138,0.7208233942927821,0.7459998171344976,0.733195542774982,0.9814951025635928,0.7691546508340401,26.6048,265.892,4.172,2.0,1224
0.0298,0.056115198880434036,0.7157647468244301,0.7522172442168785,0.7335384066693416,0.9816967366516813,0.7800395815662992,25.663,275.65,4.325,3.0,1836
