training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0854,0.0730196088552475,0.7029755112788555,0.6686425112706629,0.6853793162466304,0.9754214608268406,0.6118192352259559,10.8025,479.333,7.498,1.0,477
0.0506,0.07495582848787308,0.7089108910891089,0.6874269494072466,0.6980036451489847,0.9762670527708713,0.6334492081884897,17.1372,302.15,4.727,2.0,954
0.0379,0.07845669984817505,0.7054948720086718,0.7063783603272666,0.7059363397438572,0.9766942992268026,0.6500579374275782,19.5131,265.36,4.151,3.0,1431
