training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0725,0.06049046665430069,0.7284567350579839,0.741016333938294,0.7346828609986505,0.97866424759369,0.7411598302687411,13.5404,261.071,4.136,1.0,663
0.0446,0.060165178030729294,0.7349099894105189,0.7557168784029038,0.7451682176091625,0.9799660701452622,0.7601131541725601,11.8988,297.088,4.706,2.0,1326
0.0327,0.0632009282708168,0.7224091520861373,0.7793103448275862,0.7497817356382049,0.9799719607450431,0.7841584158415842,7.028,502.988,7.968,3.0,1989
0.0247,0.07191474735736847,0.7321582858130292,0.7689655172413793,0.750110648844826,0.9802664907340866,0.7813295615275814,14.1216,250.327,3.966,4.0,2652
