training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0974,0.07240376621484756,0.7062156897467682,0.7793629079538792,0.7409884801189149,0.974023276744025,0.7728451069345431,10.6034,291.04,4.621,1.0,530
0.058,0.06677079200744629,0.7526099925428784,0.7889388313464921,0.7703463409979963,0.9771078684010123,0.7825664290343487,12.0629,255.827,4.062,2.0,1060
0.0431,0.0706673264503479,0.7509474824038982,0.813171780340043,0.7808219178082192,0.9780155537265098,0.803953337653921,6.0637,508.933,8.081,3.0,1590
0.0329,0.07469435036182404,0.7648704083535335,0.801641586867305,0.7828244274809161,0.9785693956200336,0.7955281918340894,5.9868,515.47,8.185,4.0,2120
