training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0725,0.05894990637898445,0.6860949208992506,0.6945966450307679,0.6903196079252711,0.9793851209369784,0.7124579124579125,29.1552,254.671,4.013,1.0,601
0.0411,0.06132356449961662,0.7159156676312526,0.7299165472477451,0.7228483178896402,0.9805178065997818,0.7368350168350168,27.2265,272.712,4.297,2.0,1202
0.0295,0.064654640853405,0.7068664763717095,0.751496248840934,0.7284984678243105,0.9805099949745211,0.7641750841750842,27.2648,272.329,4.291,3.0,1803
