training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0793,0.06090337783098221,0.694975116391074,0.7528695652173913,0.7227648384673178,0.978433578832515,0.7555617352614016,14.1356,254.392,4.032,1.0,689
0.0497,0.05685393884778023,0.7497360084477297,0.7408695652173913,0.7452764170748775,0.9804112111292962,0.7511123470522804,12.8982,278.799,4.419,2.0,1378
0.0363,0.060143180191516876,0.734196368527236,0.7594782608695653,0.7466233544195588,0.9802009456264775,0.7594549499443827,13.527,265.838,4.214,3.0,2067
0.0276,0.06716445833444595,0.7283112582781457,0.7650434782608696,0.7462256149279051,0.9803998454264412,0.768075639599555,7.1381,503.778,7.985,4.0,2756
