training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0801,0.06486406922340393,0.7232643899310566,0.7059467918622848,0.7145006731606875,0.9772894652140944,0.7093304651788115,11.9755,310.552,4.927,1.0,748
0.0478,0.06294909864664078,0.7166791323859387,0.7497652582159624,0.732848948374761,0.9784459949701866,0.7510083355740791,13.6436,272.582,4.324,2.0,1496
0.0355,0.06683279573917389,0.7527498804399809,0.7389671361502348,0.7457948353470741,0.9792970263001413,0.7378327507394461,7.436,500.136,7.934,3.0,2244
0.0268,0.0708749070763588,0.7248599233264523,0.7693270735524257,0.7464318250835104,0.9785387355638355,0.7682172627050282,13.9387,266.812,4.233,4.0,2992
