training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0806,0.06329020857810974,0.6960705693664796,0.7187810533289168,0.7072435427360874,0.977714483661137,0.7004060761016694,24.8733,267.315,4.181,1.0,592
0.0494,0.062994584441185,0.7059522865974479,0.737578668433256,0.7214190256347953,0.9787207134884284,0.7232666566400963,21.7523,305.669,4.781,2.0,1184
0.0366,0.0677909404039383,0.6938098178450139,0.7443689963564094,0.718200703100032,0.9784045483787603,0.7336441570160926,22.5645,294.667,4.609,3.0,1776
0.0278,0.07250158488750458,0.689277566539924,0.7505796621397813,0.7186236422738445,0.9782121000511362,0.7398104978192209,24.8389,267.685,4.187,4.0,2368
