,file_combination,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
0,combined_except_BC5CDR.CONLL,0.6913850602420081,0.014287674379670117,0.7289597896251475,0.018351468313044506,0.709464347558943,0.010899624287695002
1,combined_except_BIORED.CONLL,0.722344353724149,0.011481089008743839,0.7554179486348079,0.013776918584950415,0.7384235276902474,0.009686783225674882
2,combined_except_CHIA.CONLL,0.7355041400628848,0.015461286492110699,0.7627979080163297,0.01743674297433046,0.7488785338423192,0.015874681707740132
3,combined_except_CLEAF.CONLL,0.7288644039984433,0.017855007168624225,0.7659013298154873,0.009562092160704862,0.7467632949053634,0.009807432467015384
4,combined_except_DISEASE_AE_CORPUS.CONLL,0.7380420745179113,0.010282120561384271,0.7604158128924366,0.01611299144796968,0.7489624015167781,0.01021449226534812
5,combined_except_MACCROBAT.CONLL,0.7346105891928151,0.010756374820016049,0.7676235598244299,0.011180081225468895,0.7506930254675583,0.008636884426772767
6,combined_except_NCBI.CONLL,0.7160573312958525,0.01115204833420361,0.7441032896672042,0.009892144485352423,0.7297033776011354,0.005653500594873433
7,combined_except_RENET2.CONLL,0.752042241969174,0.010846791561189069,0.7966708296744013,0.00644802447476511,0.7736855686128838,0.00785170852217764
8,NER_COMPLETE.CONLL,0.7314429778648153,0.013069964802514648,0.7609863273937723,0.006104662177584152,0.7458457093379222,0.007175934659508221
