training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0971,0.07318679988384247,0.7258292166549047,0.7594609562488462,0.7422643211547136,0.9732338712100724,0.7390470099136552,13.6347,229.341,3.594,1.0,528
0.0578,0.0759299024939537,0.7388205950472119,0.7655528890529814,0.7519492293744333,0.9746611977523363,0.7569555484489926,6.1249,510.535,8.0,2.0,1056
0.043,0.07435934245586395,0.7409122085048011,0.7976739892929666,0.7682460663170061,0.9747438324468884,0.7834985609210106,11.8887,263.022,4.122,3.0,1584
