training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0815,0.07758022844791412,0.718388225791977,0.6951801997394702,0.7065936975902551,0.9741483181876067,0.7012715033657442,24.2094,276.132,4.337,1.0,629
0.0488,0.07419456541538239,0.6971287940935192,0.7379939209726444,0.7169795401813963,0.9748960806146673,0.7443530291697831,18.5284,360.797,5.667,2.0,1258
0.0361,0.08034007251262665,0.7091134020618557,0.7466782457663916,0.7274111675126903,0.974758936414071,0.7515332834704562,14.5657,458.955,7.209,3.0,1887
0.0271,0.08913327753543854,0.7059257437914925,0.7479808944854538,0.7263450834879407,0.9752748598353617,0.7578160059835453,25.7321,259.792,4.081,4.0,2516
