training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.1004,0.07616075128316879,0.7039023968157826,0.7657191265060241,0.7335106622785267,0.9731414776939307,0.7576050217286335,23.0206,269.889,4.257,1.0,469
0.06,0.06996859610080719,0.7356977365888433,0.7771084337349398,0.7558363087063994,0.9755098937444163,0.7679060035409625,12.3484,503.144,7.936,2.0,938
0.0444,0.07440218329429626,0.747072599531616,0.7806852409638554,0.7635091595323575,0.9762816248170465,0.7709641075164977,21.2406,292.506,4.614,3.0,1407
0.0337,0.0813325047492981,0.7394734509352008,0.7852033132530121,0.7616525907327094,0.9761827824136554,0.7809431836471914,22.1995,279.871,4.415,4.0,1876
