training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0839,0.06748893857002258,0.7049337684776349,0.709702357943564,0.707310026004045,0.9766594215014212,0.653139683895771,8.6088,271.932,4.298,1.0,550
0.0513,0.06717650592327118,0.6904634102701735,0.7458446076536529,0.7170863142246585,0.9768533690018392,0.691157624946604,4.8829,479.428,7.577,2.0,1100
0.039,0.06818883121013641,0.7095505617977528,0.7323154232701972,0.7207532813391669,0.9775355291757232,0.6702263989747971,9.5892,244.13,3.859,3.0,1650
0.0301,0.07831626385450363,0.700417347123934,0.7460378817162737,0.7225081890500703,0.9769603745193112,0.6898761213156771,8.9761,260.803,4.122,4.0,2200
