training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0831,0.07465577870607376,0.6943204868154158,0.667772142021069,0.6807875894988067,0.9746850775193798,0.6203941730934018,7.5169,310.501,4.922,1.0,550
0.0502,0.07357332855463028,0.6786308973172988,0.7155676941084667,0.6966100085461969,0.975707902670112,0.6585261353898886,9.9542,234.475,3.717,2.0,1100
0.0377,0.07536640018224716,0.6816986095452837,0.7077643386656263,0.6944869831546708,0.9757280900086133,0.6538131962296486,8.5525,272.901,4.326,3.0,1650
0.0289,0.08288032561540604,0.6854442344045368,0.7073741708934842,0.6962365591397849,0.9758424849267873,0.6572407883461868,9.7807,238.634,3.783,4.0,2200
