training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0816,0.06482260674238205,0.7018558869937637,0.7177654833256493,0.7097215362990541,0.9777479773853286,0.7230121116377041,30.4923,249.112,3.903,1.0,626
0.0492,0.06443753093481064,0.7265417583251157,0.7359766405409559,0.7312287666526702,0.9791203028508366,0.7367035281727224,28.0528,270.775,4.242,2.0,1252
0.0363,0.06968580186367035,0.7350978135788262,0.7362840018441679,0.7356904295750317,0.9792011813478532,0.7402580305423907,27.6275,274.944,4.307,3.0,1878
0.0274,0.0722673088312149,0.7289371836856208,0.7525741509143998,0.7405671077504725,0.9794699066766503,0.7525013164823592,28.2702,268.693,4.209,4.0,2504
