training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0732,0.06611732393503189,0.7135202714770494,0.7263636363636363,0.7198846742949815,0.9772482849375096,0.7204987834549879,11.5712,284.153,4.494,1.0,671
0.0445,0.062118761241436005,0.7344361437210957,0.7507272727272727,0.7424923574896601,0.9784773852227411,0.7423965936739659,11.0022,298.85,4.726,2.0,1342
0.0329,0.07037775218486786,0.7075040783034258,0.7885454545454545,0.745829750644884,0.9768875707233656,0.7864963503649635,12.8619,255.639,4.043,3.0,2013
0.0247,0.07187997549772263,0.7531432619089782,0.7732727272727272,0.7630752668879518,0.9795595278651731,0.7670316301703163,12.7582,257.716,4.076,4.0,2684
