training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0791,0.06674329191446304,0.7157781533261638,0.7046279491833031,0.7101592866397377,0.9766690227860122,0.7060240963855422,15.413,242.329,3.828,1.0,710
0.0479,0.06714440137147903,0.7293289394847214,0.7363883847549909,0.7328416616496087,0.9782445651880669,0.7362784471218207,11.2061,333.301,5.265,2.0,1420
0.0354,0.07140974700450897,0.7378756322523059,0.7501512401693889,0.7439628018599069,0.9784280187554294,0.7475234270414993,13.4315,278.078,4.393,3.0,2130
