training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0772,0.06627509742975235,0.7119672593847022,0.7309475514343668,0.7213325707749499,0.9779737639545558,0.7250565468710731,8.0229,495.954,7.853,1.0,740
0.0474,0.06767967343330383,0.7135955831608005,0.7490582439872501,0.7308970099667774,0.9789016000236894,0.7444081427494346,14.171,280.785,4.446,2.0,1480
0.0351,0.06892672926187515,0.7447901798458464,0.7560127499275572,0.7503595053206786,0.9801107480925072,0.7509424478512189,16.2284,245.187,3.882,3.0,2220
