training_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_accuracy_positive_lables,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.0757,0.0643596276640892,0.7102098147660434,0.7259511844938981,0.7179942311959173,0.9778027030879154,0.7291666666666666,26.0401,263.593,4.147,1.0,597
0.0452,0.0634990707039833,0.7076289006644798,0.7549353912419239,0.7305170841835628,0.9784069008681857,0.7553904428904429,24.8714,275.98,4.342,2.0,1194
0.0335,0.06887113302946091,0.7130982367758186,0.7621141421392678,0.7367918799340678,0.9787167458837089,0.7636946386946387,24.8487,276.232,4.346,3.0,1791
0.0252,0.07266253978013992,0.6864779874213837,0.7835606604450825,0.7318136104592693,0.9774153968185114,0.7851107226107226,25.4576,269.624,4.242,4.0,2388
